epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,575.291,3.20438,5.25228,4.21198,0.00032,0.22246,0.00287,0.00129,2.83908,6.01748,3.9306,0.000173597,0.000173597,0.000173597
2,1432.56,3.1057,4.95661,3.86948,0.84293,0.06048,0.05659,0.02796,2.75304,7.45319,3.59332,0.000345476,0.000345476,0.000345476
3,2248.92,2.73545,4.5281,3.33967,0.45272,0.10572,0.09157,0.0357,2.23139,11.6394,3.02445,0.000513884,0.000513884,0.000513884
4,3563.84,2.25674,4.02377,2.81489,0.21023,0.31624,0.10553,0.06583,1.84834,6.17801,2.47706,0.000510378,0.000510378,0.000510378
5,5301.7,1.84759,3.52322,2.34724,0.30517,0.27819,0.15572,0.10864,1.49796,3.84442,2.0846,0.00050517,0.00050517,0.00050517
6,16204.1,1.66272,3.19165,2.12161,0.32334,0.46421,0.22448,0.16454,1.32411,3.27797,1.88043,0.000499963,0.000499963,0.000499963
7,16727.8,1.5221,2.94662,1.96088,0.26014,0.30102,0.20035,0.14244,1.25257,3.24733,1.77893,0.000494756,0.000494756,0.000494756
8,17117.2,1.3811,2.68347,1.8031,0.14886,0.40698,0.23357,0.17267,1.0868,2.82271,1.56968,0.000489548,0.000489548,0.000489548
9,18114.2,1.28202,2.56422,1.71256,0.2307,0.33887,0.25216,0.18411,1.04022,2.69026,1.54391,0.000484341,0.000484341,0.000484341
10,18858.6,1.22088,2.41358,1.63119,0.30731,0.47435,0.25307,0.18835,1.02177,2.49444,1.48727,0.000479133,0.000479133,0.000479133
11,19585.1,1.19802,2.35285,1.58981,0.2424,0.50084,0.28108,0.20985,0.91971,2.26912,1.40998,0.000473926,0.000473926,0.000473926
12,20031.9,1.14291,2.28009,1.55045,0.20064,0.56748,0.27252,0.19353,1.11722,2.25044,1.54953,0.000468719,0.000468719,0.000468719
13,20311.9,1.09961,2.16029,1.51232,0.30939,0.48725,0.2563,0.19608,0.88481,2.21459,1.39567,0.000463511,0.000463511,0.000463511
14,20794.9,1.05259,2.11612,1.4699,0.26488,0.54017,0.27752,0.21298,0.89342,2.17392,1.3607,0.000458304,0.000458304,0.000458304
15,21061.5,1.0378,2.05691,1.44378,0.27407,0.51001,0.28922,0.21606,0.89488,1.98519,1.37357,0.000453096,0.000453096,0.000453096
16,21534.8,1.01127,2.00243,1.41761,0.2764,0.46728,0.30471,0.22584,0.86146,1.97338,1.32658,0.000447889,0.000447889,0.000447889
17,22085.2,1.02219,1.97895,1.41857,0.25346,0.52228,0.28654,0.22478,0.88301,1.97909,1.32272,0.000442682,0.000442682,0.000442682
18,22490.1,0.99086,1.93688,1.39322,0.30914,0.45204,0.31079,0.23717,0.84364,1.91007,1.29076,0.000437474,0.000437474,0.000437474
19,22923.1,0.97509,1.94497,1.39097,0.29661,0.44995,0.33811,0.25742,0.82939,1.80034,1.28042,0.000432267,0.000432267,0.000432267
20,23164.9,0.96143,1.84687,1.3656,0.32666,0.57743,0.34902,0.27075,0.78681,1.73577,1.25015,0.000427059,0.000427059,0.000427059
21,23436.2,0.96602,1.8232,1.35972,0.5337,0.30849,0.36418,0.26809,0.81414,1.7883,1.24562,0.000421852,0.000421852,0.000421852
22,23713.5,0.94534,1.81856,1.35164,0.40672,0.54965,0.38672,0.29594,0.81026,1.80943,1.25567,0.000416645,0.000416645,0.000416645
23,23983.8,0.93692,1.79226,1.34856,0.2997,0.48145,0.38259,0.29066,0.77647,1.76629,1.22196,0.000411437,0.000411437,0.000411437
24,24287.2,0.95125,1.80051,1.33642,0.29743,0.5973,0.36864,0.28511,0.76727,1.63989,1.22354,0.00040623,0.00040623,0.00040623
25,24519.8,0.89837,1.72185,1.31619,0.3521,0.561,0.40481,0.32018,0.7673,1.5594,1.21829,0.000401022,0.000401022,0.000401022
26,24785.8,0.91199,1.7291,1.32043,0.3161,0.65954,0.39169,0.30087,0.79119,1.61618,1.22764,0.000395815,0.000395815,0.000395815
27,25051.4,0.93322,1.73613,1.32012,0.35406,0.52573,0.41861,0.33016,0.77114,1.56152,1.21238,0.000390608,0.000390608,0.000390608
28,25318.5,0.90748,1.66523,1.30865,0.3593,0.5486,0.40574,0.32546,0.7446,1.57966,1.17923,0.0003854,0.0003854,0.0003854
29,25586.7,0.88939,1.64757,1.28137,0.32795,0.47038,0.42388,0.33713,0.73488,1.59149,1.18592,0.000380193,0.000380193,0.000380193
30,25857.6,0.87804,1.63982,1.28252,0.3458,0.54735,0.39711,0.31284,0.77147,1.59371,1.20464,0.000374985,0.000374985,0.000374985
31,26128.3,0.86101,1.63375,1.28201,0.36516,0.61366,0.41457,0.32881,0.76456,1.67199,1.19435,0.000369778,0.000369778,0.000369778
32,26398.7,0.88,1.61541,1.28947,0.42686,0.48385,0.44375,0.35979,0.73434,1.51309,1.17209,0.000364571,0.000364571,0.000364571
33,26668.6,0.87134,1.62407,1.2798,0.35669,0.60298,0.44192,0.34723,0.73671,1.52786,1.18456,0.000359363,0.000359363,0.000359363
34,26940.4,0.85386,1.58127,1.26756,0.44931,0.51533,0.46824,0.37791,0.72053,1.40107,1.16513,0.000354156,0.000354156,0.000354156
35,27205.8,0.8569,1.54467,1.25624,0.42245,0.53871,0.4911,0.39862,0.69792,1.37095,1.14242,0.000348948,0.000348948,0.000348948
36,27434.2,0.8373,1.56657,1.253,0.40501,0.58356,0.45784,0.36798,0.716,1.41197,1.15443,0.000343741,0.000343741,0.000343741
37,27699.3,0.83563,1.5463,1.23975,0.45359,0.51914,0.48063,0.37732,0.70701,1.41143,1.15209,0.000338534,0.000338534,0.000338534
38,27963.9,0.84694,1.53205,1.25299,0.45544,0.53781,0.50572,0.4123,0.70696,1.33444,1.15094,0.000333326,0.000333326,0.000333326
39,28228.6,0.84208,1.51108,1.2446,0.51394,0.50268,0.52214,0.43609,0.68434,1.36197,1.13244,0.000328119,0.000328119,0.000328119
40,28478,0.82424,1.48832,1.2508,0.63043,0.43029,0.52292,0.42811,0.7385,1.29936,1.16831,0.000322911,0.000322911,0.000322911
41,28713.5,0.82334,1.4804,1.24872,0.55772,0.51917,0.53198,0.44182,0.69627,1.27733,1.14467,0.000317704,0.000317704,0.000317704
42,28972,0.83517,1.51982,1.23766,0.37753,0.65561,0.54871,0.45186,0.67532,1.25282,1.12476,0.000312497,0.000312497,0.000312497
43,29235.2,0.81169,1.45415,1.23439,0.50074,0.62712,0.5517,0.46177,0.70253,1.23177,1.14792,0.000307289,0.000307289,0.000307289
44,29494.3,0.79776,1.43903,1.22543,0.42768,0.62672,0.5426,0.44597,0.68941,1.21276,1.12643,0.000302082,0.000302082,0.000302082
45,29755.4,0.8002,1.45361,1.22644,0.51205,0.60643,0.60102,0.50205,0.67571,1.16785,1.12667,0.000296874,0.000296874,0.000296874
46,30004.8,0.79779,1.43561,1.21677,0.59409,0.49237,0.55328,0.46159,0.68273,1.17249,1.12991,0.000291667,0.000291667,0.000291667
47,30422.9,0.79929,1.4249,1.20707,0.48594,0.53698,0.58168,0.47663,0.71658,1.16751,1.15355,0.00028646,0.00028646,0.00028646
