epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.1937,3.00766,4.90418,4.22164,0,0,0,0,2.32854,5.08663,4.13711,0.0001578,0.0001578,0.0001578
2,148.613,2.97637,4.80639,4.1498,0.0005,0.24405,0.05669,0.02262,2.11412,5.06006,3.96243,0.000317683,0.000317683,0.000317683
3,227.668,3.00987,4.72946,4.03117,0.00145,0.47321,0.07265,0.04361,1.93194,5.19023,3.20642,0.000474338,0.000474338,0.000474338
4,321.308,2.87698,4.40791,3.81833,0.54108,0.01637,0.0448,0.02385,1.87501,5.763,2.93776,0.000510378,0.000510378,0.000510378
5,429.754,2.86362,4.2214,3.62975,0.56027,0.1852,0.0947,0.05803,1.93082,29.8848,2.71867,0.00050517,0.00050517,0.00050517
6,565.195,2.82392,4.12026,3.48375,0.16528,0.20386,0.09068,0.05632,1.77472,8.75622,2.69835,0.000499963,0.000499963,0.000499963
7,706.985,2.57568,4.0012,3.25662,0.14538,0.21194,0.09898,0.06708,1.43828,5.05358,2.78399,0.000494756,0.000494756,0.000494756
8,801.447,2.36364,3.81547,3.04506,0.15714,0.29022,0.11525,0.07625,1.37704,5.02688,2.34287,0.000489548,0.000489548,0.000489548
9,904.153,2.19597,3.65855,2.82608,0.3298,0.25487,0.11919,0.07895,1.31867,3.85172,2.205,0.000484341,0.000484341,0.000484341
10,1024.13,2.03294,3.5198,2.70588,0.16739,0.37964,0.13738,0.10295,1.05553,3.31855,1.92203,0.000479133,0.000479133,0.000479133
11,1216.59,1.81399,3.27226,2.50088,0.29928,0.32265,0.17197,0.12263,0.95711,2.99306,1.80383,0.000473926,0.000473926,0.000473926
12,1418.29,1.68248,3.13781,2.36037,0.32465,0.42109,0.21082,0.1545,0.86828,3.06234,1.66378,0.000468719,0.000468719,0.000468719
13,1624.69,1.59742,3.02343,2.29979,0.08399,0.3528,0.14999,0.1148,0.92558,3.24597,1.67067,0.000463511,0.000463511,0.000463511
14,1822,1.53261,2.96947,2.22316,0.33684,0.31034,0.15581,0.1304,0.72545,2.76094,1.54572,0.000458304,0.000458304,0.000458304
15,2022.41,1.44824,2.85163,2.10424,0.26751,0.3217,0.22114,0.18769,0.80025,2.87666,1.5946,0.000453096,0.000453096,0.000453096
16,2228.25,1.38868,2.77215,2.07494,0.3445,0.43173,0.25985,0.19806,0.82264,2.68492,1.55563,0.000447889,0.000447889,0.000447889
17,2411.08,1.38383,2.67376,2.04437,0.25228,0.49337,0.20792,0.15472,0.80716,2.84329,1.46148,0.000442682,0.000442682,0.000442682
18,2527.53,1.26868,2.64597,1.92725,0.29695,0.4987,0.21905,0.17994,0.78975,2.72439,1.47034,0.000437474,0.000437474,0.000437474
